vehicle_id,timestamp,gps_latitude,gps_longitude,gps_altitude,gps_hdop,gps_pdop,gps_vdop,speed,sector_id
veh_07,42403.2,33.42218563,-111.9294514,354.8673333,0.5,1.07,0.94,0.0,4.0
veh_07,42403.3,33.42218564,-111.9294514,354.863,0.5,1.07,0.94,0.011091195030638264,4.0
veh_07,42403.4,33.42218565,-111.9294514,354.863,0.5,1.07,0.94,0.011091198565282592,4.0
veh_07,42403.5,33.42218565,-111.9294514,354.858,0.5,1.07,0.94,0.0,4.0
veh_07,42403.6,33.42218565,-111.9294514,354.851,0.5,1.07,0.94,0.0,4.0
veh_07,42403.7,33.42218565,-111.9294514,354.854,0.5,1.07,0.94,0.0,4.0
veh_07,42403.8,33.42218565,-111.9294514,354.853,0.5,1.07,0.94,0.0,4.0
veh_07,42403.9,33.422185660000004,-111.9294515,354.851,0.5,1.07,0.94,0.09366458728520101,4.0
veh_07,42404.0,33.422185680000005,-111.9294514,354.844,0.5,1.07,0.94,0.09561432651796312,4.0
veh_07,42404.1,33.422185670000005,-111.9294514,354.8426667,0.5,1.07,0.94,0.011091205641474842,4.0
veh_07,42404.2,33.422185670000005,-111.9294514,354.842,0.5,1.07,0.94,0.0,4.0
veh_07,42404.3,33.422185680000005,-111.9294514,354.823,0.5,1.07,0.94,0.011091205641474842,4.0
veh_07,42404.4,33.422185690000006,-111.9294514,354.823,0.5,1.07,0.94,0.01109119503754187,4.0
veh_07,42404.5,33.4221857,-111.9294514,354.8155,0.5,1.07,0.94,0.011091191495993944,4.0
veh_07,42404.6,33.42218571,-111.9294514,354.81175,0.5,1.07,0.94,0.011091202086119712,4.0
veh_07,42404.7,33.42218572,-111.9294514,354.808,0.5,1.07,0.94,0.011091202120637723,4.0
veh_07,42404.8,33.42218571,-111.9294514,354.782,0.5,1.07,0.94,0.011091202120637723,4.0
veh_07,42404.9,33.42218572,-111.9294513,354.772,0.5,1.07,0.94,0.09366460076385501,4.0
veh_07,42405.0,33.42218573,-111.9294513,354.762,0.5,1.07,0.94,0.011091198558378992,4.0
veh_07,42405.1,33.42218573,-111.9294513,354.75,0.5,1.07,0.94,0.0,4.0
veh_07,42405.2,33.42218574,-111.9294513,354.747,0.5,1.07,0.94,0.011091198565282592,4.0
veh_07,42405.3,33.42218574,-111.9294513,354.743,0.5,1.07,0.94,0.0,4.0
veh_07,42405.4,33.42218574,-111.9294513,354.738,0.5,1.07,0.94,0.0,4.0
veh_07,42405.5,33.422185750000004,-111.9294513,354.737,0.5,1.07,0.94,0.011091198572186194,4.0
veh_07,42405.6,33.422185760000005,-111.9294513,354.732,0.5,1.07,0.94,0.011091202099926915,4.0
veh_07,42405.7,33.422185770000006,-111.9294513,354.7286667,0.5,1.07,0.94,0.011091202099926915,4.0
veh_07,42405.8,33.422185770000006,-111.9294513,354.727,0.5,1.07,0.94,0.0,4.0
veh_07,42405.9,33.422185770000006,-111.9294514,354.718,0.5,1.07,0.94,0.09300560553705625,4.0
veh_07,42406.0,33.422185770000006,-111.9294514,354.714,0.5,1.07,0.94,0.0,4.0
veh_07,42406.1,33.42218579,-111.9294513,354.702,0.5,1.07,0.94,0.09561433762121359,4.0
veh_07,42406.2,33.4221858,-111.9294513,354.702,0.5,1.07,0.94,0.011091195030638268,4.0
veh_07,42406.3,33.42218581,-111.9294513,354.696,0.5,1.07,0.94,0.011091202099926915,4.0
veh_07,42406.4,33.42218582,-111.9294513,354.683,0.5,1.07,0.94,0.011091205634571239,4.0
veh_07,42406.5,33.422185830000004,-111.9294513,354.682,0.5,1.07,0.94,0.011091195037541867,4.0
veh_07,42406.6,33.422185860000006,-111.9294513,354.676,0.5,1.07,0.94,0.033273595688944176,4.0
veh_07,42406.7,33.42218587,-111.9294513,354.679,0.5,1.07,0.94,0.011091187982060423,4.0
veh_07,42406.8,33.4221859,-111.9294513,354.669,0.5,1.07,0.94,0.03327360277204003,4.0
veh_07,42406.9,33.42218591,-111.9294513,354.659,0.5,1.07,0.94,0.011091202093023313,4.0
veh_07,42407.0,33.42218591,-111.9294513,354.659,0.5,1.07,0.94,0.0,4.0
veh_07,42407.1,33.422185940000006,-111.9294513,354.639,0.5,1.07,0.94,0.03327360631358795,4.0
veh_07,42407.2,33.42218595000001,-111.9294513,354.633,0.5,1.07,0.94,0.011091202093023313,4.0
veh_07,42407.3,33.42218597,-111.9294512,354.619,0.5,1.07,0.94,0.0956143237588076,4.0
veh_07,42407.4,33.42218599,-111.9294512,354.609,0.5,1.07,0.94,0.022182397137468786,4.0
veh_07,42407.5,33.422186,-111.9294513,354.6043333,0.5,1.07,0.94,0.09366458776180245,4.0
veh_07,42407.6,33.422186010000004,-111.9294513,354.602,0.5,1.07,0.94,0.011091195037541867,4.0
veh_07,42407.7,33.42218604,-111.9294513,354.5886667,0.5,1.07,0.94,0.03327359216120345,4.0
veh_07,42407.8,33.42218606,-111.9294512,354.582,0.5,1.07,0.94,0.0956143236654896,4.0
veh_07,42407.9,33.42218606,-111.9294512,354.564,0.5,1.07,0.94,0.0,4.0
veh_07,42408.0,33.42218607,-111.9294512,354.564,0.5,1.07,0.94,0.011091198579089797,4.0
veh_07,42408.1,33.42218608,-111.9294512,354.564,0.5,1.07,0.94,0.011091205641474842,4.0
veh_07,42408.2,33.42218608,-111.9294512,354.55,0.5,1.07,0.94,0.0,4.0
veh_07,42408.3,33.42218608,-111.9294512,354.544,0.5,1.07,0.94,0.0,4.0
veh_07,42408.4,33.422186090000004,-111.9294512,354.543,0.5,1.07,0.94,0.011091202093023313,4.0
veh_07,42408.5,33.422186100000005,-111.9294513,354.5376667,0.5,1.07,0.94,0.09366458723766277,4.0
veh_07,42408.6,33.422186110000005,-111.9294513,354.535,0.5,1.07,0.94,0.011091198572186194,4.0
veh_07,42408.7,33.422186110000005,-111.9294513,354.531,0.5,1.07,0.94,0.0,4.0
veh_07,42408.8,33.42218613,-111.9294513,354.5296667,0.5,1.07,0.94,0.02218239005437293,4.0
